time,inter_arrival,pkt_size,ttl
12.211108,2.4999999999053557e-05,66,64
12.327901,0.11679300000000126,65226,64
12.327966,6.49999999993156e-05,66,64
12.327995,2.899999999961267e-05,65226,64
12.328026,3.0999999999892225e-05,66,64
12.328035,9.000000000369823e-06,818,64
12.328072,3.700000000073089e-05,66,64
12.443917,0.1158450000000002,65226,64
12.443996,7.899999999949614e-05,65226,64
12.444028,3.1999999999143824e-05,66,64
12.444038,1.000000000139778e-05,818,64
12.444052,1.3999999998404178e-05,66,64
12.444061,9.000000000369823e-06,66,64
12.560899,0.11683799999999955,65226,64
12.560956000000001,5.7000000001750095e-05,65226,64
12.560977,2.0999999998494445e-05,818,64
12.561004,2.700000000110947e-05,66,64
12.561026,2.19999999995224e-05,66,64
12.676901,0.11587500000000084,65226,64
12.676972,7.099999999837792e-05,65226,64
12.677001,2.9000000001389026e-05,66,64
12.677004,2.9999999995311555e-06,818,64
12.677025,2.1000000000270802e-05,66,64
12.677038,1.2999999999152578e-05,66,64
12.79393,0.116892,65226,64
12.793992,6.199999999978445e-05,65226,64
12.794032,4.000000000026205e-05,818,64
12.794085,5.300000000119098e-05,66,64
12.794144,5.899999999847694e-05,66,64
12.909935,0.11579100000000153,65226,64
12.909998,6.299999999903605e-05,65226,64
12.910019,2.1000000000270802e-05,818,64
12.910078,5.9000000000253294e-05,66,64
13.026906,0.11682799999999993,65226,64
13.026985,7.899999999949614e-05,65226,64
13.027014,2.899999999961267e-05,818,64
13.02729,0.0002760000000012752,66,64
13.142927,0.11563699999999955,65226,64
13.142995,6.800000000062312e-05,65226,64
13.14302,2.4999999999053557e-05,66,64
13.143032,1.1999999999900979e-05,818,64
13.143043,1.100000000064938e-05,66,64
13.143054,1.0999999998873022e-05,66,64
13.259907,0.11685300000000076,65226,64
13.259967,5.9999999999504894e-05,65226,64
13.259989000000001,2.200000000129876e-05,818,64
13.260054,6.49999999993156e-05,66,64
13.375907,0.11585299999999954,65226,64
13.375972,6.500000000109196e-05,65226,64
13.375998,2.5999999998305157e-05,66,64
13.376002,4.000000000559112e-06,818,64
13.37602,1.8000000000739647e-05,66,64
13.376032,1.1999999999900979e-05,66,64
13.492951,0.11691899999999933,65226,64
13.49303,7.899999999949614e-05,65226,64
13.493075,4.500000000007276e-05,818,64
13.493094,1.8999999999991246e-05,66,64
13.493142,4.800000000138027e-05,66,64
13.608926,0.11578399999999966,65226,64
13.609008,8.19999999990273e-05,65226,64
13.609047,3.900000000101045e-05,818,64
13.609084,3.6999999998954536e-05,66,64
13.609119,3.500000000045134e-05,66,64
13.725923,0.11680400000000013,65226,64
13.726016,9.299999999967667e-05,65226,64
13.726055,3.900000000101045e-05,818,64
13.726283,0.00022799999999989495,66,64
13.841921,0.1156379999999988,65226,64
13.842004,8.300000000005525e-05,65226,64
13.842043,3.900000000101045e-05,818,64
13.84205,7.000000000090267e-06,66,64
13.842088,3.799999999998249e-05,66,64
13.95896,0.11687199999999898,65226,64
13.959043,8.300000000005525e-05,65226,64
13.95908,3.700000000073089e-05,818,64
13.959107,2.6999999999333113e-05,66,64
13.959154,4.7000000000352316e-05,66,64
14.074924,0.11576999999999948,65226,64
14.075029,0.00010500000000135401,65226,64
14.075081,5.200000000016303e-05,818,64
14.075472,0.00039099999999869794,66,64
14.191906,0.11643399999999993,65226,64
14.191969,6.30000000008124e-05,65226,64
14.191997,2.800000000036107e-05,66,64
14.192004,7.000000000090267e-06,818,64
14.19202,1.5999999998683734e-05,66,64
14.192033,1.3000000000928935e-05,66,64
14.307912,0.11587899999999962,65226,64
14.307986,7.399999999968543e-05,65226,64
14.30802,3.400000000119974e-05,818,64
14.30807,4.999999999988347e-05,66,64
14.308101,3.0999999999892225e-05,66,64
14.424916,0.116814999999999,65226,64
14.42501,9.400000000070463e-05,65226,64
14.425053,4.2999999999793204e-05,818,64
14.425078,2.4999999999053557e-05,66,64
14.425133,5.500000000147054e-05,66,64
14.540918,0.11578499999999892,65226,64
14.540995,7.700000000099294e-05,65226,64
14.541038,4.2999999999793204e-05,818,64
14.541056,1.799999999896329e-05,66,64
14.541102,4.6000000001100716e-05,66,64
14.657923,0.11682099999999984,65226,64
14.658001,7.800000000024454e-05,65226,64
14.658036,3.499999999867498e-05,66,64
14.658038,2.000000000279556e-06,818,64
14.658059,2.1000000000270802e-05,66,64
14.658075,1.600000000046009e-05,66,64
14.773902,0.11582699999999946,65226,64
14.773979,7.700000000099294e-05,65226,64
14.774000000000001,2.1000000000270802e-05,66,64
14.774011,1.0999999998873022e-05,818,64
14.774023,1.1999999999900979e-05,66,64
14.774035,1.1999999999900979e-05,66,64
14.89096,0.11692500000000017,65226,64
14.891051000000001,9.100000000117348e-05,65226,64
14.891098,4.699999999857596e-05,818,64
14.891124,2.6000000000081513e-05,66,64
14.891172,4.7999999999603915e-05,66,64
15.006959,0.11578700000000097,65226,64
15.007046,8.700000000061436e-05,65226,64
15.007083,3.6999999998954536e-05,818,64
15.007112,2.899999999961267e-05,66,64
15.007161,4.900000000063187e-05,66,64
15.123907,0.1167460000000009,65226,64
15.12398,7.299999999865747e-05,65226,64
15.124005,2.5000000000829914e-05,66,64
15.124011,5.999999999062311e-06,818,64
15.124027,1.600000000046009e-05,66,64
15.124041,1.4000000000180535e-05,66,64
15.2399,0.11585900000000038,65226,64
15.239958,5.799999999922534e-05,65226,64
15.240003,4.500000000007276e-05,818,64
15.240214,0.00021100000000018326,66,64
15.356956,0.11674200000000035,65226,64
15.357038,8.19999999990273e-05,65226,64
15.357074,3.600000000147929e-05,818,64
15.357116,4.199999999876525e-05,66,64
15.357152,3.5999999999702936e-05,66,64
15.472922,0.11577000000000126,65226,64
15.473023,0.00010099999999901854,65226,64
15.473056,3.300000000017178e-05,66,64
15.473068,1.1999999999900979e-05,818,64
15.473092,2.3999999999801958e-05,66,64
15.473118,2.6000000000081513e-05,66,64
15.589925000000001,0.11680700000000144,65226,64
15.590021,9.599999999920783e-05,65226,64
15.590076,5.499999999969418e-05,818,64
15.590085,9.000000000369823e-06,66,64
15.590142,5.699999999997374e-05,66,64
15.705922,0.1157799999999991,65226,64
15.706003,8.100000000155205e-05,65226,64
15.706035,3.1999999999143824e-05,66,64
15.70604,4.999999999810711e-06,818,64
15.706058,1.8000000000739647e-05,66,64
15.70607,1.1999999999900979e-05,66,64
15.822955,0.1168849999999999,65226,64
15.823051,9.599999999920783e-05,65226,64
15.823085,3.400000000119974e-05,66,64
15.823094,8.999999998593466e-06,818,64
15.823116,2.200000000129876e-05,66,64
15.823131,1.4999999999432134e-05,66,64
15.938921,0.1157900000000005,65226,64
15.939006,8.499999999855845e-05,65226,64
15.939045,3.900000000101045e-05,818,64
15.939104,5.9000000000253294e-05,66,64
15.939155,5.099999999913507e-05,66,64
16.055926,0.11677099999999996,65226,64
16.056014,8.800000000164232e-05,65226,64
16.056049,3.500000000045134e-05,818,64
16.056075,2.5999999998305157e-05,66,64
16.056123,4.7999999999603915e-05,66,64
16.171928,0.11580500000000171,65226,64
16.172021,9.299999999967667e-05,65226,64
16.172054,3.2999999998395424e-05,818,64
16.172085,3.0999999999892225e-05,66,64
16.17214,5.499999999969418e-05,66,64
16.28892,0.1167800000000021,65226,64
16.288995,7.499999999893703e-05,65226,64
16.289037,4.2000000000541604e-05,818,64
16.289097,6.000000000128125e-05,66,64
16.289155,5.799999999922534e-05,66,64
16.404925,0.11576999999999771,65226,64
16.404983,5.800000000277805e-05,65226,64
16.405006,2.2999999998774e-05,818,64
16.405062,5.600000000072214e-05,66,64
16.521907,0.11684499999999787,65226,64
16.522009,0.00010200000000182285,65226,64
16.522044,3.500000000045134e-05,818,64
16.522297000000002,0.00025300000000072487,66,64
16.637929,0.11563199999999796,65226,64
16.637988,5.9000000000253294e-05,65226,64
16.63803,4.2000000000541604e-05,818,64
16.638079,4.900000000063187e-05,66,64
16.638128000000002,4.900000000063187e-05,66,64
16.754911,0.11678299999999808,65226,64
16.754986,7.499999999893703e-05,65226,64
16.755020000000002,3.4000000002976094e-05,818,64
16.755255,0.0002349999999964325,66,64
16.870936,0.11568100000000214,65226,64
16.871035,9.899999999873899e-05,65226,64
16.871068,3.300000000194814e-05,818,64
16.87132,0.0002519999999996969,66,64
16.987921,0.11660099999999929,65226,64
16.988006,8.499999999855845e-05,65226,64
16.988043,3.700000000250725e-05,818,64
16.988066,2.2999999998774e-05,66,64
16.988125,5.9000000000253294e-05,66,64
17.103909,0.11578400000000144,65226,64
17.103969,5.999999999772854e-05,65226,64
17.103992,2.3000000002326715e-05,818,64
17.104007,1.4999999997655777e-05,66,64
17.104041,3.399999999942338e-05,66,64
17.220932,0.11689100000000252,65226,64
17.22102,8.79999999980896e-05,65226,64
17.22105,3.0000000002416982e-05,818,64
17.221316,0.00026599999999987745,66,64
17.336899,0.11558299999999733,65226,64
17.33695,5.1000000002687784e-05,65226,64
17.336977,2.6999999999333113e-05,818,64
17.337035,5.799999999922534e-05,66,64
17.453907,0.11687200000000075,65226,64
17.453966,5.9000000000253294e-05,65226,64
17.453992,2.5999999998305157e-05,818,64
17.454046,5.400000000221894e-05,66,64
17.570929,0.11688299999999785,65226,64
17.571,7.100000000193063e-05,65226,64
17.571024,2.3999999999801958e-05,818,64
17.571286,0.00026199999999931833,66,64
17.686936,0.1156499999999987,65226,64
17.687002,6.600000000034356e-05,65226,64
17.687042,4.0000000002038405e-05,818,64
17.687083,4.099999999951365e-05,66,64
17.687138,5.499999999969418e-05,66,64
17.803901,0.11676299999999884,65226,64
17.803959,5.799999999922534e-05,65226,64
17.803982,2.3000000002326715e-05,818,64
17.80404,5.799999999922534e-05,66,64
17.919933,0.1158929999999998,65226,64
17.920026,9.299999999967667e-05,65226,64
17.92005,2.3999999999801958e-05,66,64
17.920065,1.5000000001208491e-05,818,64
17.920074,8.999999998593466e-06,66,64
17.920087,1.2999999999152578e-05,66,64
18.036952,0.11686500000000066,65226,64
18.037038,8.599999999958641e-05,65226,64
18.037047,9.00000000214618e-06,66,64
18.037086,3.8999999997457735e-05,818,64
18.037105,1.9000000001767603e-05,66,64
18.037119,1.4000000000180535e-05,66,64
18.152923,0.11580400000000068,65226,64
18.153013,9.000000000014552e-05,65226,64
18.15303,1.699999999971169e-05,66,64
18.153049,1.899999999821489e-05,818,64
18.153052,2.9999999995311555e-06,66,64
18.153073,2.1000000000270802e-05,66,64
18.269921,0.11684800000000095,65226,64
18.270021,9.999999999976694e-05,65226,64
18.270034,1.2999999999152578e-05,66,64
18.270074,4.0000000002038405e-05,818,64
18.270085,1.100000000064938e-05,66,64
18.2701,1.4999999997655777e-05,66,64
18.385916,0.11581600000000236,65226,64
18.385993,7.699999999744023e-05,65226,64
18.38603,3.700000000250725e-05,818,64
18.386044,1.3999999996627821e-05,66,64
18.386086,4.2000000000541604e-05,66,64
18.502958,0.11687200000000075,65226,64
18.503051,9.299999999967667e-05,65226,64
18.503086,3.500000000045134e-05,818,64
18.503112,2.600000000185787e-05,66,64
18.503161,4.899999999707916e-05,66,64
18.618927,0.1157660000000007,65226,64
18.61902,9.299999999967667e-05,65226,64
18.619056,3.600000000147929e-05,818,64
18.619252,0.00019599999999897477,66,64
18.73593,0.11667800000000028,65226,64
18.736011,8.100000000155205e-05,65226,64
18.736051,3.999999999848569e-05,818,64
18.736073,2.200000000129876e-05,66,64
18.736131,5.799999999922534e-05,66,64
18.85194,0.11580899999999872,65226,64
18.852028,8.800000000164232e-05,65226,64
18.852063,3.500000000045134e-05,818,64
18.85209,2.6999999999333113e-05,66,64
18.85214,4.9999999998107114e-05,66,64
18.968929,0.1167890000000007,65226,64
18.969025,9.599999999920783e-05,65226,64
18.969061,3.600000000147929e-05,818,64
18.969074,1.2999999999152578e-05,66,64
18.969132,5.799999999922534e-05,66,64
