point_count,time,bandwidth,bandwidth_average,bandwidth_variance,npackets,npackets_average,npackets_variance,nflows,nflows_average,nflows_variance
72,7.15,2265120.0,7251770.4,32137084811475.836,152,248.34,7823.6044,81,3351,646.4098999999999
73,7.25,2475200.0,7251770.4,32137084811475.836,170,248.34,7823.6044,84,3351,646.4098999999999
74,7.3500000000000005,2963120.0,7251770.4,32137084811475.836,176,248.34,7823.6044,108,3351,646.4098999999999
75,7.45,6279520.0,7251770.4,32137084811475.836,288,248.34,7823.6044,148,3351,646.4098999999999
76,7.55,3943120.0,7251770.4,32137084811475.836,243,248.34,7823.6044,121,3351,646.4098999999999
77,7.65,5870080.0,7251770.4,32137084811475.836,235,248.34,7823.6044,133,3351,646.4098999999999
78,7.75,5892400.0,7251770.4,32137084811475.836,236,248.34,7823.6044,139,3351,646.4098999999999
79,7.8500000000000005,2780560.0,7251770.4,32137084811475.836,129,248.34,7823.6044,102,3351,646.4098999999999
80,7.95,2559360.0,7251770.4,32137084811475.836,178,248.34,7823.6044,114,3351,646.4098999999999
81,8.05,2590800.0,7251770.4,32137084811475.836,158,248.34,7823.6044,97,3351,646.4098999999999
82,8.15,1489840.0,7251770.4,32137084811475.836,119,248.34,7823.6044,71,3351,646.4098999999999
83,8.250000000000002,2524320.0,7251770.4,32137084811475.836,179,248.34,7823.6044,88,3351,646.4098999999999
84,8.350000000000001,2609600.0,7251770.4,32137084811475.836,141,248.34,7823.6044,95,3351,646.4098999999999
85,8.450000000000001,2429680.0,7251770.4,32137084811475.836,151,248.34,7823.6044,82,3351,646.4098999999999
86,8.55,2603440.0,7251770.4,32137084811475.836,253,248.34,7823.6044,104,3351,646.4098999999999
87,8.65,1164160.0,7251770.4,32137084811475.836,95,248.34,7823.6044,68,3351,646.4098999999999
88,8.750000000000002,2170960.0,7251770.4,32137084811475.836,163,248.34,7823.6044,87,3351,646.4098999999999
89,8.850000000000001,1569920.0,7251770.4,32137084811475.836,92,248.34,7823.6044,63,3351,646.4098999999999
90,8.950000000000001,4419440.0,7251770.4,32137084811475.836,173,248.34,7823.6044,88,3351,646.4098999999999
91,9.05,3510480.0,7251770.4,32137084811475.836,170,248.34,7823.6044,77,3351,646.4098999999999
92,9.15,2769760.0,7251770.4,32137084811475.836,151,248.34,7823.6044,80,3351,646.4098999999999
93,9.250000000000002,2506160.0,7251770.4,32137084811475.836,157,248.34,7823.6044,72,3351,646.4098999999999
94,9.350000000000001,3109040.0,7251770.4,32137084811475.836,156,248.34,7823.6044,85,3351,646.4098999999999
95,9.450000000000001,2496960.0,7251770.4,32137084811475.836,155,248.34,7823.6044,81,3351,646.4098999999999
96,9.55,2901600.0,7251770.4,32137084811475.836,218,248.34,7823.6044,98,3351,646.4098999999999
97,9.650000000000002,2776960.0,7251770.4,32137084811475.836,130,248.34,7823.6044,91,3351,646.4098999999999
98,9.750000000000002,2673040.0,7251770.4,32137084811475.836,193,248.34,7823.6044,105,3351,646.4098999999999
99,9.850000000000001,2573360.0,7251770.4,32137084811475.836,123,248.34,7823.6044,78,3351,646.4098999999999
100,9.950000000000001,2361520.0,7251770.4,32137084811475.836,156,248.34,7823.6044,99,3351,646.4098999999999
