point_count,time,bandwidth,bandwidth_average,bandwidth_variance,npackets,npackets_average,npackets_variance,nflows,nflows_average,nflows_variance
127,12.650000000000002,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
128,12.750000000000002,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
129,12.850000000000001,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
130,12.950000000000001,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
131,13.05,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
132,13.150000000000002,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
133,13.250000000000002,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
134,13.350000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
135,13.450000000000001,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
136,13.55,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
137,13.650000000000002,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
138,13.750000000000002,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
139,13.850000000000001,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
140,13.950000000000001,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
141,14.05,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
142,14.150000000000002,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
143,14.250000000000002,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
144,14.350000000000001,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
145,14.450000000000001,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
146,14.55,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
147,14.650000000000002,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
148,14.750000000000002,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
149,14.850000000000001,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
150,14.950000000000001,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
151,15.05,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
152,15.150000000000002,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
153,15.250000000000002,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
154,15.350000000000001,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
155,15.450000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
156,15.55,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
157,15.650000000000002,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
158,15.750000000000002,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
159,15.850000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
160,15.950000000000001,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
161,16.05,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
162,16.150000000000002,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
163,16.25,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
164,16.35,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
165,16.450000000000003,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
166,16.55,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
167,16.650000000000002,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
168,16.75,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
169,16.85,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
170,16.950000000000003,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
171,17.05,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
172,17.150000000000002,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
173,17.25,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
174,17.35,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
175,17.450000000000003,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
176,17.55,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
177,17.650000000000002,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
178,17.75,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
179,17.85,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
180,17.950000000000003,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
181,18.05,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
182,18.150000000000002,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
183,18.25,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
184,18.35,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
185,18.450000000000003,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
186,18.55,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
187,18.650000000000002,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
188,18.75,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
189,18.85,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
190,18.950000000000003,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
191,19.05,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
192,19.150000000000002,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
193,19.250000000000004,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
194,19.35,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
195,19.450000000000003,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
196,19.55,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
197,19.650000000000002,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
198,19.750000000000004,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
199,19.85,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
200,19.950000000000003,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
201,20.05,10539040.0,7394937.590361446,22965508117184.555,10,4.307228915662651,26.676694730730148,4,1.5210843373493976,0.9363024386703441
202,20.150000000000002,113680.0,7394937.590361446,22965508117184.555,13,4.307228915662651,26.676694730730148,4,1.5210843373493976,0.9363024386703441
